APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
psort,2,16,4,4028878323,1268299914,3.18,100%,80%,57%,10%,7%,27%,42056139,6%,11%,81%,0%,2283285532,402661376,1074450824,268480665,67129281,21418,402662886,1268258886,0,TM,0.0937
psort,2,16,8,3369514592,653871017,5.15,100%,77%,68%,12%,4%,16%,21643421,5%,13%,81%,0%,2282625164,402661376,549985157,134242969,67130529,22442,204529221,653594436,0,TM,0.0937
psort,2,16,16,3030008049,434599418,6.97,50%,55%,75%,13%,2%,9%,206705506,39%,23%,37%,0%,2283352482,402661376,276871390,67122875,67131037,22928,102603686,217317411,0,TM,0.0937
psort,2,16,32,2857730318,432077805,6.61,50%,54%,80%,14%,1%,5%,112059343,37%,21%,40%,0%,2282366856,402661376,139139325,33562835,67132061,23944,51518224,216061170,0,TM,0.0937
psort,2,32,2,4027887166,2273963554,1.77,100%,89%,57%,10%,7%,27%,10435402,4%,8%,86%,0%,2282624714,402661376,1074120453,268480697,134239265,21450,402662982,2273814214,0,TM,0.0469
psort,2,32,4,4027528994,1251020170,3.22,100%,81%,57%,10%,7%,27%,4802443,5%,9%,85%,0%,2282386106,402661376,1073997945,268483641,67130529,22474,402663366,1250083350,0,TM,0.0937
psort,2,32,8,3389682729,806007921,4.21,50%,64%,68%,12%,4%,16%,197324703,34%,29%,36%,0%,2296073796,402661376,556704164,134243467,67131037,22944,204529540,403022542,0,TM,0.0937
psort,2,32,16,3030355510,455761410,6.65,50%,63%,75%,13%,2%,9%,105484522,31%,28%,39%,0%,2283591184,402661376,276979637,67123387,67132061,23952,102604006,227903271,0,TM,0.0937
psort,2,32,32,2858384481,466019833,6.13,50%,61%,80%,14%,1%,5%,59115542,28%,26%,44%,0%,2282817706,402661376,139342126,33563347,67134109,25992,51518544,233042144,0,TM,0.0937
psort,4,2,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,TM,#DIV/0!
psort,4,2,4,4028419096,1842740936,2.19,100%,95%,57%,10%,7%,27%,2791507660,44%,31%,23%,0%,2282978254,402661376,1074298897,268480717,67128433,22808,402662532,1841368067,0,TM,0.0937
psort,4,2,8,3366334445,1100335880,3.06,100%,82%,68%,12%,4%,16%,1474687291,41%,32%,25%,0%,2283122392,402661376,546307804,134243021,67128745,23064,203537094,1099500432,0,TM,0.0937
psort,4,2,16,3024914060,613896771,4.93,100%,77%,75%,13%,2%,9%,777592739,39%,31%,28%,0%,2282392346,402661376,272736313,67124173,67129369,23576,101682136,613725880,0,TM,0.0937
psort,4,2,32,2857585751,343372574,8.32,100%,75%,80%,14%,1%,5%,432060943,36%,28%,35%,0%,2282258468,402661376,139101306,33564749,67130617,24600,51517991,343313226,0,TM,0.0937
