C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
16,2,2,16,64,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
16,2,4,32,64,0,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
16,4,2,32,64,0,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
4,4,4,16,16,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
16,2,2,16,64,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
16,2,4,32,64,2,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
2,8,8,32,16,1,TM,64,0.998721881390593,0.9858870967741935,0.9846270161290323,80.0
16,4,2,32,64,1,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
16,4,2,32,64,2,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
4,4,4,16,16,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
2,8,8,32,16,2,TM,64,0.998721881390593,0.9858870967741935,0.9846270161290323,80.0
8,4,4,32,32,2,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
4,4,4,16,16,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
8,2,4,16,32,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
8,4,2,16,32,2,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
4,8,2,16,16,1,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,4,32,16,1,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
8,8,2,32,32,0,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,8,4,16,16,0,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,8,4,16,16,2,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
8,8,2,32,32,1,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
8,8,2,32,32,2,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,2,16,16,2,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,8,4,16,16,1,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,4,32,16,0,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,2,16,16,0,TM,32,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
4,8,4,32,16,2,TM,64,0.998721881390593,0.9848790322580645,0.9836202400389208,80.0
2,16,2,16,16,2,TM,16,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
4,16,2,32,16,1,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,16,4,32,16,0,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,16,2,16,16,0,TM,16,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,16,4,32,16,2,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
4,16,2,32,16,2,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
4,16,2,32,16,0,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,16,2,16,16,1,TM,16,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
2,16,4,32,16,1,TM,32,0.9966836734693878,0.9848790322580645,0.9816128517939434,80.0
